   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 256,     200,       8,      10,     100,    1640,    0.04,    0.08,    0.04,      443.00,      836.01,      467.03,    0.00,    0.10,    0.03,    0.10,    0.20,    0.07
 256,     200,       8,      20,     100,    1640,    0.07,    0.15,    0.07,      687.00,     1305.01,      725.30,    0.00,    0.20,    0.09,    0.20,    0.31,    0.16
 256,     200,       8,      50,     100,    1640,    0.15,    0.32,    0.17,     1293.50,     2404.05,     1360.45,    0.45,    0.50,    0.32,    0.50,    0.60,    0.41
 256,     200,       8,     100,     100,    1640,    0.30,    0.50,    0.31,     2164.00,     3298.00,     2225.37,    0.93,    1.00,    0.74,    0.76,    1.00,    0.67
 256,     200,       8,     150,     100,    2354,    0.44,    0.72,    0.45,     2986.00,     4720.00,     3033.47,    0.95,    1.00,    0.81,    0.80,    1.00,    0.71
 256,     200,       8,     200,     100,    3069,    0.58,    0.97,    0.59,     3783.00,     6133.00,     3804.93,    0.96,    1.00,    0.84,    0.82,    1.00,    0.73
 256,     200,       8,     250,     100,    3784,    0.73,    1.25,    0.74,     4580.00,     7094.07,     4556.49,    0.96,    1.00,    0.86,    0.83,    1.00,    0.75
 256,     200,       8,     300,     100,    4498,    0.85,    1.34,    0.85,     5372.00,     7998.04,     5299.90,    0.96,    1.00,    0.88,    0.85,    1.00,    0.76
 256,     200,       8,     500,     100,    7377,    1.38,    2.10,    1.36,     8538.00,    11389.06,     8253.76,    0.97,    1.00,    0.91,    0.88,    1.00,    0.79
 256,     200,       8,     750,     100,   10996,    2.11,    3.17,    2.06,    12532.00,    15602.11,    11978.95,    0.97,    1.00,    0.92,    0.90,    1.00,    0.82
 256,     200,       8,    1000,     100,   14629,    2.82,    4.14,    2.74,    16547.50,    19823.07,    15732.19,    0.97,    1.00,    0.93,    0.92,    1.00,    0.85
 256,     200,       8,    2000,     100,   29223,    5.79,    8.43,    5.69,    32383.00,    36638.03,    30743.53,    0.97,    1.00,    0.95,    0.95,    1.00,    0.90
 256,     200,       8,    3000,     100,   43841,    8.61,   12.40,    8.47,    47642.50,    52752.01,    45464.84,    0.98,    1.00,    0.96,    0.97,    1.00,    0.92
