   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 128,      50,       2,      10,     100,    1016,    0.01,    0.02,    0.01,      176.00,      284.07,      182.69,    0.00,    0.09,    0.01,    0.03,    0.20,    0.05
 128,      50,       2,      20,     100,    1016,    0.02,    0.04,    0.02,      248.00,      422.06,      257.68,    0.00,    0.18,    0.03,    0.08,    0.34,    0.11
 128,      50,       2,      50,     100,    1016,    0.04,    0.08,    0.04,      425.00,      719.05,      442.19,    0.08,    0.46,    0.12,    0.18,    0.63,    0.22
 128,      50,       2,     100,     100,    1016,    0.08,    0.14,    0.08,      673.00,     1042.08,      695.58,    0.27,    0.91,    0.31,    0.27,    0.85,    0.32
 128,      50,       2,     150,     100,    1476,    0.12,    0.21,    0.13,      909.00,     1306.21,      926.86,    0.32,    0.94,    0.35,    0.33,    0.89,    0.37
 128,      50,       2,     200,     100,    1936,    0.16,    0.26,    0.16,     1135.00,     1599.14,     1150.05,    0.36,    0.93,    0.38,    0.38,    0.91,    0.42
 128,      50,       2,     250,     100,    2393,    0.20,    0.31,    0.21,     1354.50,     1872.20,     1365.67,    0.39,    0.94,    0.41,    0.42,    0.93,    0.45
 128,      50,       2,     300,     100,    2850,    0.26,    0.40,    0.26,     1576.50,     2140.45,     1581.33,    0.42,    0.95,    0.43,    0.45,    0.95,    0.48
 128,      50,       2,     500,     100,    4661,    0.43,    0.73,    0.45,     2439.00,     3082.04,     2414.81,    0.48,    0.96,    0.48,    0.54,    0.96,    0.55
 128,      50,       2,     750,     100,    6908,    0.68,    1.13,    0.70,     3475.00,     4117.32,     3414.42,    0.52,    0.97,    0.51,    0.61,    0.97,    0.61
 128,      50,       2,    1000,     100,    9141,    0.89,    1.31,    0.89,     4488.00,     5202.33,     4399.88,    0.56,    0.97,    0.54,    0.65,    0.98,    0.65
 128,      50,       2,    2000,     100,   17977,    1.77,    2.46,    1.75,     8364.50,     9369.09,     8166.67,    0.62,    0.97,    0.59,    0.75,    0.98,    0.74
 128,      50,       2,    3000,     100,   26712,    2.67,    3.50,    2.64,    12079.00,    13484.17,    11766.32,    0.65,    0.98,    0.62,    0.80,    0.99,    0.78
