   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 128,      50,       4,      10,     100,    1016,    0.02,    0.04,    0.02,      293.00,      473.02,      301.03,    0.02,    0.10,    0.04,    0.12,    0.20,    0.13
 128,      50,       4,      20,     100,    1016,    0.03,    0.05,    0.03,      418.00,      675.04,      431.83,    0.11,    0.20,    0.10,    0.24,    0.39,    0.24
 128,      50,       4,      50,     100,    1016,    0.06,    0.11,    0.06,      730.00,     1128.04,      746.24,    0.36,    0.50,    0.34,    0.51,    0.68,    0.48
 128,      50,       4,     100,     100,    1016,    0.12,    0.19,    0.12,     1203.50,     1641.22,     1202.82,    0.79,    1.00,    0.76,    0.67,    0.98,    0.67
 128,      50,       4,     150,     100,    1476,    0.18,    0.26,    0.18,     1660.50,     2146.07,     1641.40,    0.84,    1.00,    0.81,    0.75,    0.99,    0.74
 128,      50,       4,     200,     100,    1936,    0.25,    0.38,    0.25,     2105.50,     2542.06,     2063.94,    0.86,    1.00,    0.83,    0.80,    1.00,    0.78
 128,      50,       4,     250,     100,    2393,    0.31,    0.41,    0.31,     2539.50,     3036.21,     2479.73,    0.87,    1.00,    0.85,    0.83,    1.00,    0.82
 128,      50,       4,     300,     100,    2850,    0.38,    0.55,    0.38,     2966.50,     3436.06,     2887.69,    0.89,    1.00,    0.86,    0.86,    1.00,    0.84
 128,      50,       4,     500,     100,    4661,    0.63,    0.83,    0.62,     4610.00,     5289.15,     4460.77,    0.92,    1.00,    0.89,    0.92,    1.00,    0.90
 128,      50,       4,     750,     100,    6908,    0.93,    1.28,    0.92,     6531.50,     7584.07,     6320.59,    0.93,    1.00,    0.91,    0.95,    1.00,    0.93
 128,      50,       4,    1000,     100,    9141,    1.24,    1.67,    1.22,     8361.50,     9742.23,     8096.05,    0.95,    1.00,    0.93,    0.96,    1.00,    0.95
 128,      50,       4,    2000,     100,   17977,    2.45,    3.35,    2.41,    15157.50,    17926.07,    14664.95,    0.97,    1.00,    0.95,    0.99,    1.00,    0.97
 128,      50,       4,    3000,     100,   26712,    3.71,    5.59,    3.70,    21386.50,    25600.26,    20720.51,    0.98,    1.00,    0.96,    0.99,    1.00,    0.98
