   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
  96,     100,      16,      10,     100,    1606,    0.03,    0.08,    0.04,      753.00,     1201.01,      767.57,    0.10,    0.10,    0.08,    0.10,    0.20,    0.12
  96,     100,      16,      20,     100,    1606,    0.05,    0.10,    0.06,     1082.00,     1667.08,     1095.02,    0.20,    0.20,    0.18,    0.20,    0.34,    0.21
  96,     100,      16,      50,     100,    1606,    0.12,    0.18,    0.12,     2013.00,     2787.14,     1967.59,    0.50,    0.50,    0.49,    0.50,    0.59,    0.51
  96,     100,      16,     100,     100,    1606,    0.22,    0.29,    0.21,     3218.00,     3259.00,     2951.65,    1.00,    1.00,    0.98,    0.93,    1.00,    0.89
  96,     100,      16,     150,     100,    2339,    0.35,    0.54,    0.35,     4616.00,     4724.00,     4146.84,    1.00,    1.00,    0.99,    0.97,    1.00,    0.94
  96,     100,      16,     200,     100,    3071,    0.48,    0.77,    0.50,     5768.00,     6183.02,     5275.93,    1.00,    1.00,    1.00,    0.98,    1.00,    0.96
  96,     100,      16,     250,     100,    3803,    0.80,    0.97,    0.76,     6856.50,     7646.01,     6355.99,    1.00,    1.00,    1.00,    0.99,    1.00,    0.97
  96,     100,      16,     300,     100,    4532,    0.82,    1.20,    0.80,     7874.00,     9102.00,     7391.77,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98
  96,     100,      16,     500,     100,    7424,    1.58,    2.11,    1.52,    11647.00,    14884.01,    11229.81,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,      16,     750,     100,   11017,    1.57,    2.75,    1.57,    15868.00,    22066.00,    15549.74,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,      16,    1000,     100,   14579,    2.07,    3.46,    2.07,    19603.00,    29185.01,    19506.15,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      16,    2000,     100,   28680,    3.90,    7.63,    4.01,    33544.00,    54593.89,    33415.59,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      16,    3000,     100,   42628,    5.50,    9.21,    5.50,    45633.00,    74797.48,    45671.21,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
