       i      m1      m2       m       o     dc1     dc2      dc
       0    0.68    0.96    0.99    0.65    1302    1302    2604
       1    0.03    0.58    0.59    0.05     164    1302    1466
       2    0.44    0.53    0.68    0.53    1301    1302    2603
       3    0.05    0.74    0.75    0.04     266     464     730
       4    0.22    0.66    0.72    0.31     844    1301    2145
       5    0.82    0.74    0.95    0.73    1301    1302    2603
       6    0.16    0.72    0.76    0.15     160    1302    1462
       7    0.89    0.93    0.99    0.88    1301    1302    2603
       8    0.23    0.73    0.73    0.31    1302    1302    2604
       9    0.71    0.76    0.94    0.72    1301    1302    2603
      10    0.04    0.46    0.49    0.06     164    1301    1465
      11    0.66    0.63    0.93    0.51     853    1302    2155
      12    0.50    0.78    0.85    0.58     842    1302    2144
      13    0.68    0.52    0.89    0.42     855    1301    2156
      14    0.70    0.30    0.82    0.29    1301    1303    2604
      15    0.40    0.67    0.78    0.42    1302    1301    2603
      16    0.60    0.31    0.67    0.37     850     467    1317
      17    0.47    0.50    0.75    0.40     856    1302    2158
      18    0.77    0.12    0.79    0.11    1302     102    1404
      19    0.92    0.22    0.93    0.22    1303    1301    2604
      20    0.78    0.29    0.84    0.28     845     457    1302
      21    0.14    0.69    0.74    0.15    1301    1301    2602
      22    0.89    0.65    0.96    0.66    1301    1301    2602
      23    0.30    0.62    0.73    0.35    1301    1301    2602
      24    0.13    0.35    0.41    0.26     271    1302    1573
      25    0.43    0.51    0.69    0.50    1301    1301    2602
      26    0.33    0.23    0.47    0.32    1301    1301    2602
      27    0.59    0.46    0.75    0.56    1301    1302    2603
      28    0.79    0.50    0.92    0.43    1301    1302    2603
      29    0.18    0.56    0.63    0.16    1301    1301    2602
      30    0.34    0.75    0.79    0.33     166    1301    1467
      31    0.47    0.70    0.86    0.45    1303    1303    2606
      32    0.02    0.31    0.32    0.08    1301    1302    2603
      33    0.41    0.45    0.72    0.38    1302    1301    2603
      34    0.27    0.61    0.67    0.37     270    1301    1571
      35    0.66    0.55    0.80    0.57     857     468    1325
      36    0.59    0.82    0.94    0.57    1301    1303    2604
      37    0.59    0.63    0.83    0.61    1303    1301    2604
      38    0.16    0.66    0.68    0.15     275    1301    1576
      39    0.38    0.01    0.38    0.02     849     456    1305
      40    0.88    0.24    0.94    0.21    1301    1303    2604
      41    0.14    0.67    0.76    0.10    1301    1301    2602
      42    0.93    0.13    0.93    0.15    1302    1301    2603
      43    0.60    0.43    0.78    0.44    1302    1301    2603
      44    0.78    0.44    0.84    0.53    1301    1302    2603
      45    0.30    0.04    0.34    0.03    1301     108    1409
      46    0.40    0.53    0.71    0.38     855    1301    2156
      47    0.43    0.23    0.57    0.29    1301    1302    2603
      48    0.03    0.14    0.16    0.05     164    1302    1466
      49    0.62    0.64    0.82    0.71    1301    1302    2603
      50    0.13    0.80    0.82    0.13     267    1302    1569
      51    0.92    0.66    0.99    0.65    1301    1304    2605
      52    0.23    0.72    0.80    0.26    1301    1301    2602
      53    0.20    0.33    0.42    0.33    1302    1302    2604
      54    0.41    0.70    0.84    0.40    1301    1302    2603
      55    0.84    0.58    0.94    0.60    1302    1302    2604
      56    0.35    0.63    0.81    0.28    1301    1301    2602
      57    0.69    0.60    0.86    0.58    1301    1301    2602
      58    0.60    0.65    0.81    0.71    1303    1302    2605
      59    0.29    0.67    0.74    0.29     266    1302    1568
      60    0.07    0.61    0.66    0.03     269    1301    1570
      61    0.27    0.70    0.77    0.34    1301    1302    2603
      62    0.54    0.21    0.62    0.36    1301    1303    2604
      63    0.93    0.20    0.94    0.21    1301    1301    2602
      64    0.26    0.70    0.75    0.32    1303    1301    2604
      65    0.32    0.72    0.85    0.32    1302    1301    2603
      66    0.82    0.39    0.92    0.36    1301    1303    2604
      67    0.08    0.64    0.68    0.05     854     405    1259
      68    0.79    0.61    0.92    0.61    1302    1301    2603
      69    0.87    0.18    0.89    0.18    1302    1301    2603
      70    0.12    0.42    0.49    0.15    1301    1302    2603
      71    0.00    0.18    0.18    0.01      59    1301    1360
      72    0.86    0.42    0.88    0.45    1301    1301    2602
      73    0.06    0.21    0.27    0.01     164    1302    1466
      74    0.41    0.68    0.82    0.40    1301    1302    2603
      75    0.26    0.21    0.41    0.14    1302     158    1460
      76    0.40    0.65    0.74    0.47    1301    1301    2602
      77    0.22    0.70    0.73    0.27    1301    1301    2602
      78    0.72    0.78    0.93    0.71    1302    1303    2605
      79    0.64    0.59    0.89    0.54    1301    1301    2602
      80    0.13    0.72    0.74    0.12     275    1302    1577
      81    0.06    0.55    0.57    0.06     272     465     737
      82    0.29    0.27    0.46    0.15    1302     163    1465
      83    0.16    0.81    0.83    0.17     268    1303    1571
      84    0.64    0.87    0.97    0.60    1302    1301    2603
      85    0.04    0.40    0.43    0.03     172    1302    1474
      86    0.44    0.20    0.55    0.22    1301    1301    2602
      87    0.83    0.14    0.86    0.13    1301     463    1764
      88    0.30    0.63    0.69    0.38    1302    1301    2603
      89    0.44    0.54    0.81    0.33    1301    1304    2605
      90    0.26    0.65    0.73    0.25    1301    1301    2602
      91    0.67    0.38    0.84    0.34    1301    1304    2605
      92    0.58    0.09    0.63    0.11    1301    1303    2604
      93    0.69    0.01    0.69    0.01    1301     456    1757
      94    0.15    0.71    0.75    0.16    1301    1301    2602
      95    0.32    0.56    0.70    0.37    1302    1302    2604
      96    0.58    0.45    0.78    0.43    1303    1301    2604
      97    0.54    0.75    0.89    0.53    1301    1302    2603
      98    0.09    0.62    0.68    0.04     164    1302    1466
      99    0.27    0.18    0.42    0.11    1301     398    1699
