   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 200,     300,      24,      10,     100,    2476,    0.11,    0.24,    0.12,     1327.50,     2565.14,     1391.21,    0.08,    0.10,    0.06,    0.10,    0.20,    0.11
 200,     300,      24,      20,     100,    2476,    0.19,    0.45,    0.20,     2019.00,     3822.36,     2123.46,    0.18,    0.20,    0.14,    0.20,    0.38,    0.20
 200,     300,      24,      50,     100,    2476,    0.47,    0.83,    0.48,     3852.50,     5020.02,     3866.99,    0.49,    0.50,    0.43,    0.50,    0.60,    0.43
 200,     300,      24,     100,     100,    2476,    0.62,    0.89,    0.63,     4978.00,     5037.01,     4887.95,    0.96,    1.00,    0.85,    0.69,    1.00,    0.64
 200,     300,      24,     150,     100,    3554,    0.90,    1.32,    0.90,     7132.00,     7191.00,     6957.03,    0.98,    1.00,    0.90,    0.76,    1.00,    0.69
 200,     300,      24,     200,     100,    4640,    1.20,    1.72,    1.20,     9303.00,     9365.00,     9012.13,    0.99,    1.00,    0.94,    0.80,    1.00,    0.73
 200,     300,      24,     250,     100,    5721,    1.48,    2.14,    1.47,    11463.00,    11528.00,    11035.10,    0.99,    1.00,    0.95,    0.84,    1.00,    0.75
 200,     300,      24,     300,     100,    6800,    1.77,    2.80,    1.77,    13619.50,    13682.00,    13040.11,    0.99,    1.00,    0.96,    0.87,    1.00,    0.77
 200,     300,      24,     500,     100,   11116,    2.94,    4.68,    2.91,    22249.00,    22313.01,    20948.75,    1.00,    1.00,    0.98,    0.91,    1.00,    0.82
 200,     300,      24,     750,     100,   16500,    4.41,    6.42,    4.30,    33014.00,    33080.00,    30612.39,    1.00,    1.00,    0.99,    0.95,    1.00,    0.85
 200,     300,      24,    1000,     100,   21865,    5.92,    8.59,    5.91,    43741.00,    43811.01,    40090.47,    1.00,    1.00,    0.99,    0.96,    1.00,    0.88
 200,     300,      24,    2000,     100,   43237,   11.84,   17.97,   11.56,    86480.00,    86551.02,    76814.13,    1.00,    1.00,    0.99,    0.98,    1.00,    0.92
 200,     300,      24,    3000,     100,   64468,   17.59,   22.66,   16.76,   128938.00,   129012.02,   112438.97,    1.00,    1.00,    0.99,    0.99,    1.00,    0.95
