       i      m1      m2       m       o     dc1     dc2      dc
       0    0.97    0.85    1.00    0.83    1302    1300    2602
       1    0.75    0.87    0.98    0.75    1301    1300    2601
       2    0.10    0.75    0.75    0.11    1303    1300    2603
       3    0.86    0.93    0.99    0.87    1304    1297    2601
       4    0.96    1.00    1.00    0.96    1302    1299    2601
       5    0.98    0.99    1.00    0.98    1304    1297    2601
       6    0.84    0.74    0.94    0.80    1301    1300    2601
       7    0.97    1.00    1.00    0.97    1301    1300    2601
       8    0.96    0.67    0.98    0.67    1301    1302    2603
       9    0.71    0.98    0.99    0.70    1303    1299    2602
      10    0.64    0.82    0.95    0.63    1302    1299    2601
      11    0.91    0.81    0.96    0.81    1301    1303    2604
      12    0.98    1.00    1.00    0.98    1302    1299    2601
      13    0.99    0.79    1.00    0.79    1302    1300    2602
      14    0.92    0.59    0.98    0.60    1301    1301    2602
      15    0.59    0.93    0.98    0.58    1301    1301    2602
      16    0.83    0.87    0.95    0.87    1301    1300    2601
      17    0.94    0.72    0.96    0.72    1302    1301    2603
      18    1.00    0.83    1.00    0.83    1301    1302    2603
      19    0.98    0.98    1.00    0.98    1301    1302    2603
      20    0.98    0.90    1.00    0.90    1303    1300    2603
      21    0.82    0.88    0.97    0.82    1303    1298    2601
      22    0.99    0.81    1.00    0.81    1304    1298    2602
      23    0.95    0.99    1.00    0.95    1301    1300    2601
      24    0.69    0.97    1.00    0.67    1302    1299    2601
      25    0.57    0.96    0.98    0.57    1301    1301    2602
      26    0.42    0.83    0.85    0.50    1301    1304    2605
      27    0.56    0.97    0.98    0.58    1303    1298    2601
      28    0.85    0.93    0.98    0.85    1302    1299    2601
      29    0.87    0.83    1.00    0.79    1301    1304    2605
      30    0.81    0.88    0.99    0.78    1301    1301    2602
      31    0.93    0.91    1.00    0.91    1301    1300    2601
      32    0.94    0.88    0.99    0.88    1301    1302    2603
      33    0.86    0.98    0.99    0.87    1304    1297    2601
      34    0.98    1.00    1.00    0.98    1303    1298    2601
      35    0.49    0.82    0.85    0.57    1301    1300    2601
      36    0.86    0.88    0.99    0.83    1301    1300    2601
      37    0.65    0.95    0.98    0.66    1305    1296    2601
      38    0.81    0.89    0.93    0.88    1302    1299    2601
      39    0.99    0.87    1.00    0.87    1301    1304    2605
      40    0.98    1.00    1.00    0.98    1301    1300    2601
      41    0.95    0.51    0.96    0.54    1301    1302    2603
      42    0.96    1.00    1.00    0.96    1302    1300    2602
      43    0.76    0.73    0.95    0.73    1302    1300    2602
      44    0.97    0.99    0.99    0.98    1302    1299    2601
      45    0.98    0.72    1.00    0.72    1302    1301    2603
      46    0.97    0.87    1.00    0.87    1303    1298    2601
