   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 256,     200,      16,      10,     100,    1640,    0.09,    0.21,    0.10,      657.00,     1415.00,      684.65,    0.08,    0.10,    0.05,    0.10,    0.20,    0.10,    0.97,    0.99,    0.97,    0.64,    0.98,    0.67
 256,     200,      16,      20,     100,    1640,    0.16,    0.37,    0.17,      883.00,     2141.00,      980.66,    0.19,    0.20,    0.14,    0.20,    0.35,    0.20,    0.98,    1.00,    0.98,    0.47,    0.98,    0.54
 256,     200,      16,      50,     100,    1640,    0.36,    0.72,    0.38,     1457.00,     3305.00,     1632.30,    0.49,    0.50,    0.42,    0.50,    0.61,    0.46,    0.99,    1.00,    0.99,    0.30,    0.98,    0.38
 256,     200,      16,     100,     100,    1640,    0.62,    0.85,    0.62,     2362.00,     3331.00,     2379.44,    0.93,    1.00,    0.81,    0.83,    1.00,    0.74,    0.99,    1.00,    0.99,    0.36,    0.98,    0.40
 256,     200,      16,     150,     100,    2354,    0.95,    1.35,    0.94,     3251.50,     4755.00,     3248.94,    0.96,    1.00,    0.87,    0.86,    1.00,    0.77,    0.99,    1.00,    0.99,    0.32,    0.96,    0.35
 256,     200,      16,     200,     100,    3069,    1.27,    1.78,    1.25,     4150.00,     6182.00,     4099.58,    0.97,    1.00,    0.89,    0.88,    1.00,    0.79,    1.00,    1.00,    0.99,    0.30,    0.86,    0.32
 256,     200,      16,     250,     100,    3784,    1.58,    2.19,    1.54,     5062.00,     7602.00,     4939.08,    0.97,    1.00,    0.90,    0.89,    1.00,    0.80,    1.00,    1.00,    1.00,    0.29,    0.72,    0.30
 256,     200,      16,     300,     100,    4498,    1.91,    2.65,    1.85,     5976.50,     8836.03,     5778.14,    0.98,    1.00,    0.91,    0.90,    1.00,    0.82,    1.00,    1.00,    1.00,    0.28,    0.66,    0.28
 256,     200,      16,     500,     100,    7377,    3.31,    4.30,    3.14,     9676.50,    12646.00,     9149.28,    0.98,    1.00,    0.93,    0.93,    1.00,    0.85,    1.00,    1.00,    1.00,    0.27,    0.51,    0.26
 256,     200,      16,     750,     100,   10996,    5.16,    6.25,    4.84,    14296.00,    17567.08,    13393.22,    0.98,    1.00,    0.94,    0.95,    1.00,    0.88,    1.00,    1.00,    1.00,    0.26,    0.44,    0.25
 256,     200,      16,    1000,     100,   14629,    7.11,    8.45,    6.68,    18842.00,    22519.03,    17622.17,    0.98,    1.00,    0.95,    0.96,    1.00,    0.91,    1.00,    1.00,    1.00,    0.25,    0.41,    0.24
 256,     200,      16,    2000,     100,   29223,   15.29,   17.38,   14.46,    36116.00,    40673.06,    33978.31,    0.99,    1.00,    0.97,    0.98,    1.00,    0.95,    1.00,    1.00,    1.00,    0.22,    0.32,    0.21
 256,     200,      16,    3000,     100,   43841,   23.63,   26.07,   22.47,    51874.50,    56876.11,    49210.60,    0.99,    1.00,    0.98,    0.99,    1.00,    0.97,    1.00,    1.00,    1.00,    0.18,    0.26,    0.17
