   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
  96,     100,      16,      10,     100,    1606,    0.05,    0.11,    0.06,      479.00,     1042.06,      514.65,    0.10,    0.10,    0.08,    0.10,    0.20,    0.12,    0.93,    0.97,    0.93,    0.34,    0.91,    0.39
  96,     100,      16,      20,     100,    1606,    0.09,    0.16,    0.09,      629.50,     1414.19,      665.16,    0.20,    0.20,    0.18,    0.20,    0.34,    0.21,    0.95,    0.98,    0.95,    0.22,    0.88,    0.25
  96,     100,      16,      50,     100,    1606,    0.20,    0.33,    0.20,     1075.00,     1861.63,     1077.64,    0.50,    0.50,    0.49,    0.50,    0.59,    0.51,    0.97,    0.99,    0.97,    0.11,    0.39,    0.12
  96,     100,      16,     100,     100,    1606,    0.41,    0.58,    0.40,     1752.00,     2723.03,     1718.65,    1.00,    1.00,    0.99,    0.94,    1.00,    0.91,    0.98,    0.99,    0.98,    0.06,    0.21,    0.07
  96,     100,      16,     150,     100,    2339,    0.59,    0.83,    0.57,     2370.00,     3567.12,     2310.21,    1.00,    1.00,    0.99,    0.97,    1.00,    0.95,    0.99,    0.99,    0.98,    0.04,    0.13,    0.05
  96,     100,      16,     200,     100,    3071,    0.77,    1.08,    0.75,     2943.00,     4387.29,     2864.40,    1.00,    1.00,    1.00,    0.99,    1.00,    0.96,    0.99,    1.00,    0.99,    0.04,    0.11,    0.04
  96,     100,      16,     250,     100,    3803,    0.94,    1.33,    0.91,     3483.00,     5230.18,     3394.67,    1.00,    1.00,    1.00,    0.99,    1.00,    0.97,    0.99,    1.00,    0.99,    0.03,    0.09,    0.03
  96,     100,      16,     300,     100,    4532,    1.10,    1.57,    1.08,     3998.50,     5986.37,     3903.28,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98,    0.99,    1.00,    0.99,    0.03,    0.08,    0.03
  96,     100,      16,     500,     100,    7424,    1.73,    2.60,    1.71,     5889.50,     9113.49,     5793.31,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    0.99,    1.00,    0.99,    0.02,    0.06,    0.02
  96,     100,      16,     750,     100,   11017,    2.51,    3.87,    2.49,     8005.00,    12871.43,     7928.62,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    1.00,    0.99,    0.02,    0.05,    0.02
  96,     100,      16,    1000,     100,   14579,    3.25,    5.17,    3.25,     9883.00,    16391.14,     9901.56,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    1.00,    0.99,    0.01,    0.04,    0.02
  96,     100,      16,    2000,     100,   28680,    6.22,   10.24,    6.24,    16891.50,    28139.10,    16892.53,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.01,    0.04,    0.01
  96,     100,      16,    3000,     100,   42628,    9.16,   14.87,    9.20,    22973.50,    38459.20,    23076.40,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.01,    0.03,    0.01
