   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 100,     200,      10,      10,     100,    2403,    0.03,    0.07,    0.04,      646.50,     1204.09,      684.11,    0.01,    0.10,    0.04,    0.10,    0.20,    0.10
 100,     200,      10,      20,     100,    2403,    0.06,    0.13,    0.06,      976.00,     1856.24,     1034.24,    0.16,    0.20,    0.12,    0.20,    0.35,    0.18
 100,     200,      10,      50,     100,    2403,    0.13,    0.27,    0.14,     1813.00,     3348.04,     1899.94,    0.47,    0.50,    0.38,    0.50,    0.58,    0.41
 100,     200,      10,     100,     100,    2403,    0.26,    0.46,    0.27,     3070.00,     4828.00,     3139.61,    0.97,    1.00,    0.87,    0.67,    1.00,    0.64
 100,     200,      10,     150,     100,    3482,    0.40,    0.70,    0.41,     4264.00,     6870.41,     4285.92,    0.98,    1.00,    0.91,    0.74,    1.00,    0.69
 100,     200,      10,     200,     100,    4564,    0.52,    0.94,    0.53,     5378.00,     8394.79,     5391.99,    0.98,    1.00,    0.93,    0.78,    1.00,    0.73
 100,     200,      10,     250,     100,    5651,    0.66,    1.19,    0.67,     6506.00,     9793.38,     6449.65,    0.98,    1.00,    0.94,    0.82,    1.00,    0.75
 100,     200,      10,     300,     100,    6733,    0.78,    1.36,    0.79,     7590.50,    11159.39,     7480.20,    0.99,    1.00,    0.95,    0.83,    1.00,    0.77
 100,     200,      10,     500,     100,   11066,    1.24,    2.17,    1.25,    11767.00,    15800.34,    11491.70,    0.99,    1.00,    0.96,    0.88,    1.00,    0.82
 100,     200,      10,     750,     100,   16475,    1.84,    3.17,    1.85,    16716.00,    22217.34,    16298.40,    0.99,    1.00,    0.97,    0.92,    1.00,    0.85
 100,     200,      10,    1000,     100,   21889,    2.40,    4.23,    2.42,    21533.50,    28584.70,    20969.14,    0.99,    1.00,    0.97,    0.94,    1.00,    0.87
 100,     200,      10,    2000,     100,   43462,    4.79,    8.03,    4.77,    39665.00,    53024.20,    38763.92,    0.99,    1.00,    0.98,    0.97,    1.00,    0.92
 100,     200,      10,    3000,     100,   64965,    7.19,   10.81,    7.06,    57494.50,    76341.60,    55701.34,    0.99,    1.00,    0.98,    0.98,    1.00,    0.94
