   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
  96,     100,       4,      10,     100,    1606,    0.01,    0.03,    0.02,      293.00,      528.08,      307.37,    0.04,    0.10,    0.04,    0.11,    0.20,    0.11
  96,     100,       4,      20,     100,    1606,    0.02,    0.05,    0.03,      416.00,      742.00,      437.61,    0.16,    0.20,    0.12,    0.21,    0.38,    0.22
  96,     100,       4,      50,     100,    1606,    0.05,    0.10,    0.05,      717.00,     1217.09,      741.73,    0.45,    0.50,    0.40,    0.50,    0.61,    0.45
  96,     100,       4,     100,     100,    1606,    0.09,    0.18,    0.10,     1165.00,     1882.47,     1177.50,    0.93,    1.00,    0.86,    0.67,    0.98,    0.65
  96,     100,       4,     150,     100,    2339,    0.14,    0.26,    0.15,     1590.00,     2346.08,     1581.31,    0.94,    1.00,    0.89,    0.74,    1.00,    0.72
  96,     100,       4,     200,     100,    3071,    0.19,    0.32,    0.19,     1996.50,     2751.73,     1970.20,    0.95,    1.00,    0.91,    0.79,    1.00,    0.76
  96,     100,       4,     250,     100,    3803,    0.24,    0.42,    0.25,     2385.00,     3229.52,     2351.11,    0.96,    1.00,    0.92,    0.82,    1.00,    0.79
  96,     100,       4,     300,     100,    4532,    0.29,    0.45,    0.30,     2775.50,     3641.48,     2722.12,    0.96,    1.00,    0.93,    0.85,    1.00,    0.82
  96,     100,       4,     500,     100,    7424,    0.51,    0.71,    0.50,     4236.00,     5358.24,     4130.14,    0.97,    1.00,    0.95,    0.91,    1.00,    0.87
  96,     100,       4,     750,     100,   11017,    0.76,    1.02,    0.75,     5931.50,     7545.38,     5789.92,    0.98,    1.00,    0.96,    0.94,    1.00,    0.91
  96,     100,       4,    1000,     100,   14579,    1.01,    1.39,    1.01,     7530.00,     9677.25,     7371.05,    0.98,    1.00,    0.96,    0.95,    1.00,    0.92
  96,     100,       4,    2000,     100,   28680,    1.96,    2.83,    1.96,    13349.50,    17831.74,    13247.37,    0.99,    1.00,    0.97,    0.98,    1.00,    0.96
  96,     100,       4,    3000,     100,   42628,    2.97,    4.59,    2.98,    18854.50,    25388.10,    18719.61,    0.99,    1.00,    0.98,    0.98,    1.00,    0.97
