   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 256,     200,      64,      10,     100,    1640,    0.22,    0.40,    0.23,     2113.00,     3434.01,     2164.87,    0.10,    0.10,    0.08,    0.10,    0.20,    0.11
 256,     200,      64,      20,     100,    1640,    0.37,    0.55,    0.35,     3211.00,     3492.00,     2893.87,    0.20,    0.20,    0.17,    0.20,    0.35,    0.21
 256,     200,      64,      50,     100,    1640,    0.49,    0.64,    0.47,     3336.00,     3494.00,     3305.44,    0.48,    0.50,    0.41,    0.50,    0.64,    0.46
 256,     200,      64,     100,     100,    1640,    0.41,    0.60,    0.42,     3340.00,     3494.00,     3348.73,    0.93,    1.00,    0.80,    0.71,    1.00,    0.66
 256,     200,      64,     150,     100,    2354,    0.65,    1.01,    0.66,     4767.00,     4922.00,     4774.47,    0.97,    1.00,    0.86,    0.79,    1.00,    0.72
 256,     200,      64,     200,     100,    3069,    0.87,    1.50,    0.90,     6197.00,     6350.00,     6200.36,    0.98,    1.00,    0.90,    0.83,    1.00,    0.76
 256,     200,      64,     250,     100,    3784,    1.08,    1.60,    1.09,     7627.00,     7778.00,     7625.14,    0.98,    1.00,    0.92,    0.86,    1.00,    0.78
 256,     200,      64,     300,     100,    4498,    1.26,    1.89,    1.29,     9054.00,     9207.00,     9047.69,    0.99,    1.00,    0.93,    0.88,    1.00,    0.80
 256,     200,      64,     500,     100,    7377,    2.15,    3.30,    2.18,    14813.00,    14963.01,    14786.90,    0.99,    1.00,    0.96,    0.92,    1.00,    0.84
 256,     200,      64,     750,     100,   10996,    3.28,    4.88,    3.39,    22052.00,    22196.00,    21994.27,    0.99,    1.00,    0.97,    0.94,    1.00,    0.87
 256,     200,      64,    1000,     100,   14629,    4.40,    6.66,    4.49,    29317.00,    29458.00,    29228.78,    1.00,    1.00,    0.98,    0.96,    1.00,    0.89
 256,     200,      64,    2000,     100,   29223,    9.00,   12.67,    9.12,    58502.00,    58628.00,    58353.16,    1.00,    1.00,    0.99,    0.98,    1.00,    0.94
 256,     200,      64,    3000,     100,   43841,   14.01,   19.27,   14.37,    87734.00,    87847.00,    87622.48,    1.00,    1.00,    0.99,    0.99,    1.00,    0.96
