   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 200,     300,      12,      10,     100,    2476,    0.06,    0.13,    0.07,      771.00,     1417.12,      810.50,    0.03,    0.10,    0.04,    0.10,    0.20,    0.10
 200,     300,      12,      20,     100,    2476,    0.11,    0.21,    0.11,     1174.50,     2139.16,     1241.93,    0.16,    0.20,    0.12,    0.20,    0.37,    0.18
 200,     300,      12,      50,     100,    2476,    0.23,    0.51,    0.25,     2206.50,     3984.50,     2284.35,    0.47,    0.50,    0.41,    0.50,    0.59,    0.39
 200,     300,      12,     100,     100,    2476,    0.44,    0.76,    0.44,     3754.50,     4985.02,     3744.18,    0.97,    1.00,    0.89,    0.65,    1.00,    0.61
 200,     300,      12,     150,     100,    3554,    0.67,    1.26,    0.70,     5203.00,     7135.01,     5183.04,    0.98,    1.00,    0.93,    0.72,    1.00,    0.66
 200,     300,      12,     200,     100,    4640,    0.85,    1.56,    0.86,     6580.00,     9301.00,     6539.51,    0.99,    1.00,    0.95,    0.77,    1.00,    0.69
 200,     300,      12,     250,     100,    5721,    1.02,    1.56,    1.02,     7953.50,    11458.03,     7867.58,    0.99,    1.00,    0.96,    0.80,    1.00,    0.72
 200,     300,      12,     300,     100,    6800,    1.29,    2.15,    1.29,     9297.00,    13605.01,     9153.03,    0.99,    1.00,    0.97,    0.82,    1.00,    0.74
 200,     300,      12,     500,     100,   11116,    2.06,    3.22,    2.04,    14441.50,    19592.79,    14095.38,    0.99,    1.00,    0.98,    0.87,    1.00,    0.78
 200,     300,      12,     750,     100,   16500,    3.07,    6.20,    3.14,    20555.00,    27136.45,    20029.79,    1.00,    1.00,    0.98,    0.90,    1.00,    0.81
 200,     300,      12,    1000,     100,   21865,    3.94,    6.39,    3.89,    26481.00,    35095.10,    25767.68,    1.00,    1.00,    0.98,    0.92,    1.00,    0.84
 200,     300,      12,    2000,     100,   43237,    7.63,   11.71,    7.52,    49209.50,    65342.00,    47621.18,    1.00,    1.00,    0.99,    0.96,    1.00,    0.88
 200,     300,      12,    3000,     100,   64468,   11.28,   17.98,   11.11,    70936.50,    94066.02,    68346.34,    1.00,    1.00,    0.99,    0.97,    1.00,    0.91
