   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
  96,     100,       8,      10,     100,    1606,    0.02,    0.04,    0.02,      482.00,      804.02,      496.81,    0.09,    0.10,    0.07,    0.11,    0.20,    0.12
  96,     100,       8,      20,     100,    1606,    0.03,    0.06,    0.03,      687.00,     1151.08,      704.02,    0.19,    0.20,    0.17,    0.21,    0.37,    0.22
  96,     100,       8,      50,     100,    1606,    0.07,    0.12,    0.07,     1241.00,     1807.20,     1234.10,    0.49,    0.50,    0.47,    0.50,    0.62,    0.50
  96,     100,       8,     100,     100,    1606,    0.14,    0.21,    0.14,     2079.50,     2767.29,     2033.29,    0.99,    1.00,    0.97,    0.86,    1.00,    0.82
  96,     100,       8,     150,     100,    2339,    0.21,    0.32,    0.21,     2868.50,     3661.02,     2773.41,    1.00,    1.00,    0.98,    0.91,    1.00,    0.88
  96,     100,       8,     200,     100,    3071,    0.29,    0.41,    0.28,     3599.00,     4603.05,     3476.82,    1.00,    1.00,    0.98,    0.94,    1.00,    0.91
  96,     100,       8,     250,     100,    3803,    0.36,    0.53,    0.35,     4290.50,     5514.12,     4159.53,    1.00,    1.00,    0.99,    0.96,    1.00,    0.93
  96,     100,       8,     300,     100,    4532,    0.44,    0.65,    0.43,     4967.50,     6473.30,     4815.39,    1.00,    1.00,    0.99,    0.97,    1.00,    0.94
  96,     100,       8,     500,     100,    7424,    0.76,    1.07,    0.75,     7476.50,    10024.33,     7279.29,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97
  96,     100,       8,     750,     100,   11017,    1.11,    1.66,    1.11,    10366.50,    14271.53,    10113.70,    1.00,    1.00,    0.99,    1.00,    1.00,    0.98
  96,     100,       8,    1000,     100,   14579,    1.44,    2.07,    1.43,    12997.00,    18239.14,    12776.83,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,       8,    2000,     100,   28680,    2.74,    4.25,    2.75,    22481.00,    32989.41,    22397.54,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,       8,    3000,     100,   42628,    3.97,    5.87,    3.96,    31382.50,    46470.72,    31107.27,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
