   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 200,     300,      24,      10,     100,    2476,    0.17,    0.37,    0.18,     1072.50,     2347.21,     1132.18,    0.08,    0.10,    0.06,    0.10,    0.20,    0.11,    0.98,    0.99,    0.98,    0.57,    0.98,    0.63
 200,     300,      24,      20,     100,    2476,    0.27,    0.61,    0.30,     1384.00,     3539.46,     1576.50,    0.18,    0.20,    0.14,    0.20,    0.38,    0.20,    0.99,    1.00,    0.98,    0.37,    0.99,    0.46
 200,     300,      24,      50,     100,    2476,    0.59,    1.09,    0.63,     2252.00,     4997.01,     2524.97,    0.49,    0.50,    0.43,    0.50,    0.59,    0.43,    0.99,    1.00,    0.99,    0.19,    0.99,    0.28
 200,     300,      24,     100,     100,    2476,    1.00,    1.32,    0.99,     3685.50,     5026.01,     3697.83,    0.89,    1.00,    0.81,    0.75,    1.00,    0.68,    0.99,    1.00,    0.99,    0.35,    0.99,    0.37
 200,     300,      24,     150,     100,    3554,    1.44,    1.95,    1.43,     5071.00,     7183.00,     5024.69,    0.92,    1.00,    0.86,    0.80,    1.00,    0.73,    0.99,    1.00,    0.99,    0.32,    0.98,    0.31
 200,     300,      24,     200,     100,    4640,    1.89,    2.57,    1.86,     6382.50,     9341.00,     6309.51,    0.94,    1.00,    0.89,    0.85,    1.00,    0.76,    1.00,    1.00,    0.99,    0.29,    0.79,    0.28
 200,     300,      24,     250,     100,    5721,    2.34,    3.21,    2.29,     7712.00,    11496.01,     7554.48,    0.96,    1.00,    0.91,    0.87,    1.00,    0.79,    1.00,    1.00,    1.00,    0.27,    0.63,    0.26
 200,     300,      24,     300,     100,    6800,    2.80,    3.79,    2.72,     8981.00,    13369.84,     8766.39,    0.97,    1.00,    0.92,    0.89,    1.00,    0.80,    1.00,    1.00,    1.00,    0.25,    0.59,    0.24
 200,     300,      24,     500,     100,   11116,    4.65,    6.82,    4.53,    13888.00,    19848.29,    13446.49,    0.98,    1.00,    0.94,    0.93,    1.00,    0.85,    1.00,    1.00,    1.00,    0.21,    0.49,    0.20
 200,     300,      24,     750,     100,   16500,    7.15,    9.31,    6.87,    19754.50,    27801.05,    19078.74,    0.99,    1.00,    0.96,    0.95,    1.00,    0.88,    1.00,    1.00,    1.00,    0.17,    0.43,    0.18
 200,     300,      24,    1000,     100,   21865,    9.62,   12.61,    9.21,    25337.00,    35731.33,    24534.76,    0.99,    1.00,    0.96,    0.97,    1.00,    0.90,    1.00,    1.00,    1.00,    0.14,    0.41,    0.16
 200,     300,      24,    2000,     100,   43237,   19.91,   26.38,   18.93,    46859.50,    66314.97,    45238.20,    1.00,    1.00,    0.98,    0.99,    1.00,    0.94,    1.00,    1.00,    1.00,    0.08,    0.36,    0.13
 200,     300,      24,    3000,     100,   64468,   31.09,   42.18,   29.50,    68264.50,    94348.34,    64746.57,    1.00,    1.00,    0.98,    0.99,    1.00,    0.96,    1.00,    1.00,    1.00,    0.06,    0.33,    0.11
