   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 128,      50,      16,      10,     100,    1016,    0.04,    0.08,    0.04,      697.50,     1113.11,      705.37,    0.09,    0.10,    0.08,    0.11,    0.20,    0.12
 128,      50,      16,      20,     100,    1016,    0.07,    0.11,    0.07,     1006.00,     1520.16,     1001.26,    0.19,    0.20,    0.17,    0.21,    0.39,    0.23
 128,      50,      16,      50,     100,    1016,    0.15,    0.21,    0.14,     1833.50,     2076.00,     1756.75,    0.49,    0.50,    0.47,    0.51,    0.66,    0.52
 128,      50,      16,     100,     100,    1016,    0.18,    0.33,    0.19,     2045.00,     2081.00,     2013.65,    0.97,    1.00,    0.93,    0.80,    1.00,    0.80
 128,      50,      16,     150,     100,    1476,    0.29,    0.41,    0.29,     2964.00,     3000.00,     2898.71,    0.98,    1.00,    0.96,    0.89,    1.00,    0.87
 128,      50,      16,     200,     100,    1936,    0.41,    0.63,    0.41,     3884.00,     3918.01,     3775.00,    0.99,    1.00,    0.97,    0.93,    1.00,    0.91
 128,      50,      16,     250,     100,    2393,    0.53,    0.84,    0.54,     4798.00,     4832.00,     4637.02,    0.99,    1.00,    0.98,    0.96,    1.00,    0.94
 128,      50,      16,     300,     100,    2850,    0.64,    1.07,    0.67,     5710.00,     5745.00,     5492.41,    0.99,    1.00,    0.98,    0.97,    1.00,    0.95
 128,      50,      16,     500,     100,    4661,    1.09,    1.83,    1.09,     9330.00,     9364.02,     8821.57,    1.00,    1.00,    0.99,    0.99,    1.00,    0.98
 128,      50,      16,     750,     100,    6908,    1.63,    2.35,    1.59,    13822.00,    13855.00,    12834.63,    1.00,    1.00,    0.99,    1.00,    1.00,    0.99
 128,      50,      16,    1000,     100,    9141,    2.20,    3.00,    2.12,    18286.00,    18321.00,    16704.00,    1.00,    1.00,    0.99,    1.00,    1.00,    1.00
 128,      50,      16,    2000,     100,   17977,    4.50,    6.74,    4.30,    33634.50,    35986.01,    30882.63,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
 128,      50,      16,    3000,     100,   26712,    6.45,    8.64,    6.19,    45609.50,    53450.02,    43294.32,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
