   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 256,     200,      32,      10,     100,    1640,    0.13,    0.30,    0.14,     1331.00,     2615.02,     1395.15,    0.10,    0.10,    0.07,    0.10,    0.20,    0.11
 256,     200,      32,      20,     100,    1640,    0.23,    0.42,    0.24,     2035.00,     3354.01,     2093.68,    0.20,    0.20,    0.17,    0.20,    0.34,    0.21
 256,     200,      32,      50,     100,    1640,    0.41,    0.58,    0.40,     3304.00,     3390.00,     3135.03,    0.49,    0.50,    0.42,    0.50,    0.63,    0.47
 256,     200,      32,     100,     100,    1640,    0.44,    0.68,    0.45,     3314.00,     3391.00,     3306.16,    0.94,    1.00,    0.82,    0.76,    1.00,    0.70
 256,     200,      32,     150,     100,    2354,    0.66,    0.99,    0.67,     4741.00,     4819.00,     4720.70,    0.97,    1.00,    0.88,    0.83,    1.00,    0.75
 256,     200,      32,     200,     100,    3069,    0.86,    1.26,    0.87,     6171.00,     6250.00,     6132.92,    0.98,    1.00,    0.90,    0.86,    1.00,    0.78
 256,     200,      32,     250,     100,    3784,    1.05,    1.51,    1.06,     7601.00,     7678.00,     7542.72,    0.98,    1.00,    0.92,    0.88,    1.00,    0.79
 256,     200,      32,     300,     100,    4498,    1.31,    2.07,    1.33,     9030.00,     9106.00,     8947.45,    0.99,    1.00,    0.93,    0.90,    1.00,    0.81
 256,     200,      32,     500,     100,    7377,    2.17,    3.31,    2.23,    14786.00,    14862.00,    14607.24,    0.99,    1.00,    0.96,    0.93,    1.00,    0.84
 256,     200,      32,     750,     100,   10996,    3.29,    4.88,    3.34,    22024.00,    22099.00,    21730.81,    0.99,    1.00,    0.97,    0.94,    1.00,    0.87
 256,     200,      32,    1000,     100,   14629,    4.45,    6.98,    4.60,    29290.00,    29364.00,    28895.39,    0.99,    1.00,    0.97,    0.96,    1.00,    0.89
 256,     200,      32,    2000,     100,   29223,    9.12,   13.75,    9.28,    58477.00,    58543.00,    57885.94,    0.99,    1.00,    0.98,    0.98,    1.00,    0.94
 256,     200,      32,    3000,     100,   43841,   14.04,   19.53,   14.25,    87711.00,    87770.00,    87148.98,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97
