   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 256,     200,       4,      10,     100,    1640,    0.02,    0.04,    0.02,      240.00,      446.00,      251.82,    0.00,    0.10,    0.01,    0.01,    0.19,    0.04
 256,     200,       4,      20,     100,    1640,    0.04,    0.10,    0.04,      366.00,      688.00,      387.91,    0.00,    0.20,    0.04,    0.05,    0.29,    0.10
 256,     200,       4,      50,     100,    1640,    0.09,    0.21,    0.10,      703.00,     1311.01,      744.68,    0.00,    0.50,    0.15,    0.30,    0.61,    0.28
 256,     200,       4,     100,     100,    1640,    0.18,    0.40,    0.19,     1199.00,     2181.04,     1264.63,    0.37,    1.00,    0.43,    0.50,    0.98,    0.48
 256,     200,       4,     150,     100,    2354,    0.26,    0.50,    0.27,     1664.00,     2947.04,     1739.41,    0.67,    1.00,    0.53,    0.59,    0.99,    0.54
 256,     200,       4,     200,     100,    3069,    0.35,    0.66,    0.37,     2096.00,     3633.03,     2180.89,    0.77,    1.00,    0.59,    0.65,    1.00,    0.58
 256,     200,       4,     250,     100,    3784,    0.44,    0.79,    0.46,     2520.00,     4234.01,     2603.54,    0.80,    1.00,    0.63,    0.68,    1.00,    0.61
 256,     200,       4,     300,     100,    4498,    0.53,    0.91,    0.55,     2931.00,     4832.00,     3009.90,    0.82,    1.00,    0.66,    0.70,    1.00,    0.63
 256,     200,       4,     500,     100,    7377,    0.87,    1.38,    0.88,     4540.00,     6850.05,     4557.77,    0.85,    1.00,    0.74,    0.76,    1.00,    0.67
 256,     200,       4,     750,     100,   10996,    1.28,    2.01,    1.29,     6501.00,     8962.05,     6418.56,    0.86,    1.00,    0.79,    0.79,    1.00,    0.71
 256,     200,       4,    1000,     100,   14629,    1.70,    2.40,    1.69,     8442.00,    10967.04,     8270.45,    0.87,    1.00,    0.81,    0.81,    1.00,    0.73
 256,     200,       4,    2000,     100,   29223,    3.39,    5.07,    3.37,    16264.50,    18759.03,    15737.48,    0.89,    1.00,    0.85,    0.86,    1.00,    0.79
 256,     200,       4,    3000,     100,   43841,    5.14,    7.00,    5.07,    24013.00,    26596.07,    23254.44,    0.90,    1.00,    0.87,    0.88,    1.00,    0.82
