   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 100,     200,      20,      10,     100,    2403,    0.10,    0.21,    0.11,      834.00,     1881.21,      911.12,    0.09,    0.10,    0.06,    0.10,    0.20,    0.11,    0.96,    0.99,    0.96,    0.52,    0.97,    0.58
 100,     200,      20,      20,     100,    2403,    0.16,    0.37,    0.17,     1091.00,     2814.85,     1247.05,    0.19,    0.20,    0.15,    0.20,    0.34,    0.21,    0.98,    0.99,    0.97,    0.35,    0.98,    0.43
 100,     200,      20,      50,     100,    2403,    0.39,    0.82,    0.42,     1826.50,     4518.42,     2040.15,    0.49,    0.50,    0.44,    0.50,    0.59,    0.46,    0.99,    1.00,    0.98,    0.18,    0.98,    0.25
 100,     200,      20,     100,     100,    2403,    0.72,    1.00,    0.71,     3043.00,     4862.01,     3075.83,    0.95,    1.00,    0.88,    0.78,    1.00,    0.73,    0.99,    1.00,    0.99,    0.23,    0.97,    0.27
 100,     200,      20,     150,     100,    3482,    1.05,    1.49,    1.03,     4201.50,     7000.02,     4163.89,    0.97,    1.00,    0.91,    0.84,    1.00,    0.77,    0.99,    1.00,    0.99,    0.19,    0.67,    0.21
 100,     200,      20,     200,     100,    4564,    1.39,    1.95,    1.35,     5329.00,     8558.67,     5218.89,    0.98,    1.00,    0.93,    0.87,    1.00,    0.80,    0.99,    1.00,    0.99,    0.16,    0.57,    0.19
 100,     200,      20,     250,     100,    5651,    1.73,    2.35,    1.67,     6423.50,     9740.31,     6245.85,    0.99,    1.00,    0.94,    0.90,    1.00,    0.83,    1.00,    1.00,    0.99,    0.13,    0.52,    0.17
 100,     200,      20,     300,     100,    6733,    2.01,    2.69,    1.93,     7496.00,    11126.58,     7264.03,    0.99,    1.00,    0.95,    0.91,    1.00,    0.85,    1.00,    1.00,    0.99,    0.12,    0.47,    0.15
 100,     200,      20,     500,     100,   11066,    3.38,    4.67,    3.20,    11665.00,    16671.43,    11177.22,    0.99,    1.00,    0.97,    0.95,    1.00,    0.89,    1.00,    1.00,    1.00,    0.08,    0.38,    0.12
 100,     200,      20,     750,     100,   16475,    5.23,    7.03,    4.97,    16452.00,    23549.09,    15879.42,    1.00,    1.00,    0.98,    0.97,    1.00,    0.92,    1.00,    1.00,    1.00,    0.06,    0.33,    0.10
 100,     200,      20,    1000,     100,   21889,    7.03,    9.26,    6.66,    21128.50,    30405.78,    20419.62,    1.00,    1.00,    0.98,    0.98,    1.00,    0.94,    1.00,    1.00,    1.00,    0.06,    0.31,    0.09
 100,     200,      20,    2000,     100,   43462,   14.74,   19.99,   14.06,    39011.00,    55628.64,    37577.07,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97,    1.00,    1.00,    1.00,    0.06,    0.24,    0.07
 100,     200,      20,    3000,     100,   64965,   22.80,   30.46,   21.63,    56076.50,    79080.89,    53635.47,    1.00,    1.00,    0.99,    1.00,    1.00,    0.98,    1.00,    1.00,    1.00,    0.05,    0.19,    0.07
