   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 100,     200,      40,      10,     100,    2403,    0.10,    0.24,    0.11,     1763.00,     3385.26,     1825.08,    0.09,    0.10,    0.07,    0.10,    0.20,    0.12
 100,     200,      40,      20,     100,    2403,    0.17,    0.36,    0.18,     2632.00,     4775.49,     2703.23,    0.19,    0.20,    0.17,    0.20,    0.36,    0.21
 100,     200,      40,      50,     100,    2403,    0.34,    0.51,    0.32,     4819.00,     4943.03,     4362.54,    0.49,    0.50,    0.44,    0.50,    0.60,    0.47
 100,     200,      40,     100,     100,    2403,    0.40,    0.78,    0.41,     4844.00,     4944.03,     4779.29,    0.97,    1.00,    0.87,    0.72,    1.00,    0.69
 100,     200,      40,     150,     100,    3482,    0.60,    1.23,    0.61,     7000.00,     7099.02,     6866.34,    0.98,    1.00,    0.92,    0.80,    1.00,    0.75
 100,     200,      40,     200,     100,    4564,    0.81,    1.56,    0.83,     9160.00,     9265.01,     8937.97,    0.99,    1.00,    0.95,    0.85,    1.00,    0.78
 100,     200,      40,     250,     100,    5651,    1.01,    1.83,    1.02,    11334.00,    11436.01,    11010.59,    0.99,    1.00,    0.96,    0.88,    1.00,    0.81
 100,     200,      40,     300,     100,    6733,    1.19,    2.21,    1.22,    13496.00,    13597.01,    13057.62,    0.99,    1.00,    0.97,    0.90,    1.00,    0.83
 100,     200,      40,     500,     100,   11066,    2.03,    3.47,    2.04,    22161.00,    22260.04,    21171.44,    1.00,    1.00,    0.98,    0.95,    1.00,    0.88
 100,     200,      40,     750,     100,   16475,    3.09,    5.09,    3.09,    32977.00,    33075.01,    31179.73,    1.00,    1.00,    0.99,    0.98,    1.00,    0.91
 100,     200,      40,    1000,     100,   21889,    4.13,    6.74,    4.12,    43804.00,    43894.01,    41105.13,    1.00,    1.00,    0.99,    0.98,    1.00,    0.93
 100,     200,      40,    2000,     100,   43462,    8.72,   16.12,    8.84,    86945.00,    87043.00,    80089.73,    1.00,    1.00,    1.00,    1.00,    1.00,    0.97
 100,     200,      40,    3000,     100,   64965,   13.02,   19.60,   12.89,   129947.50,   130039.02,   118428.28,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98
