   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 100,     200,      20,      10,     100,    2403,    0.10,    0.21,    0.11,      834.00,     1881.21,      911.12,    0.09,    0.10,    0.06,    0.10,    0.20,    0.11,    0.96,    0.99,    0.96,    0.52,    0.97,    0.58
 100,     200,      20,      20,     100,    2403,    0.16,    0.35,    0.17,     1091.00,     2764.80,     1245.19,    0.19,    0.20,    0.15,    0.20,    0.34,    0.21,    0.98,    0.99,    0.97,    0.35,    0.98,    0.43
 100,     200,      20,      50,     100,    2403,    0.38,    0.74,    0.40,     1825.00,     3985.56,     2005.68,    0.49,    0.50,    0.43,    0.50,    0.58,    0.45,    0.99,    1.00,    0.98,    0.17,    0.98,    0.26
 100,     200,      20,     100,     100,    2403,    0.73,    1.07,    0.73,     3001.50,     4859.00,     3113.58,    0.99,    1.00,    0.90,    0.78,    1.00,    0.73,    0.99,    1.00,    0.99,    0.11,    0.97,    0.18
 100,     200,      20,     150,     100,    3482,    1.07,    1.61,    1.06,     4146.50,     7005.01,     4236.63,    0.99,    1.00,    0.94,    0.84,    1.00,    0.78,    0.99,    1.00,    0.99,    0.09,    0.77,    0.13
 100,     200,      20,     200,     100,    4564,    1.41,    2.14,    1.39,     5254.00,     9147.02,     5306.88,    0.99,    1.00,    0.96,    0.87,    1.00,    0.81,    1.00,    1.00,    0.99,    0.08,    0.45,    0.11
 100,     200,      20,     250,     100,    5651,    1.76,    2.64,    1.72,     6360.00,    10918.73,     6345.08,    0.99,    1.00,    0.97,    0.90,    1.00,    0.83,    1.00,    1.00,    0.99,    0.07,    0.36,    0.09
 100,     200,      20,     300,     100,    6733,    2.10,    3.15,    2.06,     7417.00,    12624.28,     7373.71,    0.99,    1.00,    0.97,    0.91,    1.00,    0.85,    1.00,    1.00,    0.99,    0.07,    0.31,    0.09
 100,     200,      20,     500,     100,   11066,    3.47,    5.07,    3.40,    11492.00,    18202.49,    11318.20,    1.00,    1.00,    0.98,    0.95,    1.00,    0.89,    1.00,    1.00,    1.00,    0.06,    0.22,    0.07
 100,     200,      20,     750,     100,   16475,    5.27,    7.62,    5.12,    16339.50,    25133.96,    16035.13,    1.00,    1.00,    0.99,    0.97,    1.00,    0.92,    1.00,    1.00,    1.00,    0.06,    0.19,    0.07
 100,     200,      20,    1000,     100,   21889,    7.10,   10.20,    6.88,    21084.50,    31993.64,    20582.48,    1.00,    1.00,    0.99,    0.98,    1.00,    0.94,    1.00,    1.00,    1.00,    0.05,    0.17,    0.06
 100,     200,      20,    2000,     100,   43462,   14.73,   20.88,   14.16,    39001.50,    57817.95,    37725.65,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97,    1.00,    1.00,    1.00,    0.05,    0.14,    0.06
 100,     200,      20,    3000,     100,   64965,   22.72,   31.58,   21.70,    56070.00,    80905.05,    53736.36,    1.00,    1.00,    0.99,    1.00,    1.00,    0.98,    1.00,    1.00,    1.00,    0.05,    0.13,    0.06
