   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
  96,     100,      32,      10,     100,    1606,    0.04,    0.09,    0.05,     1001.00,     1696.07,     1020.84,    0.10,    0.10,    0.09,    0.10,    0.20,    0.11
  96,     100,      32,      20,     100,    1606,    0.07,    0.12,    0.07,     1453.00,     2285.40,     1450.31,    0.20,    0.20,    0.19,    0.20,    0.30,    0.21
  96,     100,      32,      50,     100,    1606,    0.16,    0.27,    0.16,     2664.50,     3282.00,     2558.67,    0.50,    0.50,    0.49,    0.50,    0.57,    0.51
  96,     100,      32,     100,     100,    1606,    0.22,    0.39,    0.22,     3227.00,     3293.01,     3099.39,    1.00,    1.00,    0.98,    0.92,    1.00,    0.89
  96,     100,      32,     150,     100,    2339,    0.35,    0.60,    0.35,     4692.00,     4757.01,     4412.32,    1.00,    1.00,    0.99,    0.97,    1.00,    0.93
  96,     100,      32,     200,     100,    3071,    0.48,    0.76,    0.47,     6152.00,     6215.01,     5683.19,    1.00,    1.00,    1.00,    0.98,    1.00,    0.96
  96,     100,      32,     250,     100,    3803,    0.60,    0.88,    0.58,     7614.00,     7678.02,     6924.98,    1.00,    1.00,    1.00,    0.99,    1.00,    0.97
  96,     100,      32,     300,     100,    4532,    0.72,    1.02,    0.70,     9070.00,     9134.01,     8134.54,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98
  96,     100,      32,     500,     100,    7424,    1.21,    1.68,    1.15,    14470.00,    14908.02,    12685.02,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,      32,     750,     100,   11017,    1.82,    2.54,    1.70,    19461.00,    22093.01,    17896.75,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      32,    1000,     100,   14579,    2.38,    3.42,    2.24,    24061.00,    29211.01,    22744.80,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      32,    2000,     100,   28680,    4.48,    7.41,    4.40,    40600.00,    57400.00,    39859.59,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      32,    3000,     100,   42628,    6.47,   10.35,    6.42,    54853.00,    85283.05,    54605.45,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
