   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 128,      50,       8,      10,     100,    1016,    0.03,    0.05,    0.03,      468.00,      764.07,      480.48,    0.08,    0.10,    0.06,    0.12,    0.20,    0.13
 128,      50,       8,      20,     100,    1016,    0.05,    0.09,    0.05,      675.50,     1035.04,      689.84,    0.17,    0.20,    0.15,    0.22,    0.40,    0.24
 128,      50,       8,      50,     100,    1016,    0.10,    0.15,    0.10,     1238.00,     1728.05,     1225.54,    0.47,    0.50,    0.44,    0.52,    0.64,    0.53
 128,      50,       8,     100,     100,    1016,    0.18,    0.23,    0.18,     2036.00,     2060.00,     1929.88,    0.95,    1.00,    0.92,    0.82,    1.00,    0.81
 128,      50,       8,     150,     100,    1476,    0.29,    0.41,    0.28,     2940.00,     2977.00,     2737.20,    0.97,    1.00,    0.95,    0.89,    1.00,    0.87
 128,      50,       8,     200,     100,    1936,    0.38,    0.54,    0.37,     3740.00,     3897.00,     3513.72,    0.98,    1.00,    0.96,    0.93,    1.00,    0.91
 128,      50,       8,     250,     100,    2393,    0.50,    0.75,    0.49,     4499.50,     4810.01,     4259.17,    0.98,    1.00,    0.97,    0.95,    1.00,    0.93
 128,      50,       8,     300,     100,    2850,    0.60,    0.93,    0.59,     5248.00,     5722.01,     4981.88,    0.99,    1.00,    0.97,    0.96,    1.00,    0.95
 128,      50,       8,     500,     100,    4661,    0.97,    1.36,    0.95,     8026.00,     9337.00,     7672.51,    0.99,    1.00,    0.98,    0.99,    1.00,    0.97
 128,      50,       8,     750,     100,    6908,    1.42,    1.90,    1.38,    11202.00,    13778.37,    10746.66,    0.99,    1.00,    0.99,    1.00,    1.00,    0.99
 128,      50,       8,    1000,     100,    9141,    1.85,    2.59,    1.81,    14206.00,    17619.22,    13621.68,    1.00,    1.00,    0.99,    1.00,    1.00,    0.99
 128,      50,       8,    2000,     100,   17977,    3.55,    5.11,    3.47,    24944.50,    31683.15,    23931.08,    1.00,    1.00,    0.99,    1.00,    1.00,    1.00
 128,      50,       8,    3000,     100,   26712,    4.98,    7.46,    4.90,    34427.00,    44156.57,    33134.36,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
