d,efc,m,efs,k,recall,distcountconstr,distcountsearch,distcache
128,50,32,100,100,0.9848,4564293,77286
128,100,32,100,100,0.9934,7253048,86326
128,200,32,100,100,0.996,10996630,93414
128,50,64,100,100,0.9864,4730278,82362
128,100,64,100,100,0.9953,7602457,94268
128,200,64,100,100,0.9978,11604528,104536
128,50,128,100,100,0.9995,8655856,164453
128,100,128,100,100,0.9954,7805460,96328
128,200,128,100,100,0.9981,11835168,106931
128,50,32,200,100,0.9976,4564293,121438
128,100,32,200,100,0.9994,7253048,134319
128,200,32,200,100,0.9997,10996630,143915
128,50,64,200,100,0.9978,4730278,128021
128,100,64,200,100,0.9996,7602457,144028
128,200,64,200,100,0.9998,11604528,157760
128,50,128,200,100,0.9999,8655856,225061
128,100,128,200,100,0.9996,7805460,146480
128,200,128,200,100,0.9999,11835168,160596
128,50,32,400,100,0.9999,4564293,184327
128,100,32,400,100,1,7253048,199803
128,200,32,400,100,1,10996630,211939
128,50,64,400,100,0.9999,4730278,191305
128,100,64,400,100,1,7602457,210372
128,200,64,400,100,1,11604528,226838
128,50,128,400,100,1,8655856,297837
128,100,128,400,100,1,7805460,213125
128,200,128,400,100,1,11835168,229972
