d,efc,m,efs,k,recall,distcountconstr,distcountsearch,distcache
128,50,32,100,100,0.9848,4565295,77668
128,100,32,100,100,0.9934,7252347,86890
128,200,32,100,100,0.9959,10996148,93991
128,50,64,100,100,0.9867,4731378,82484
128,100,64,100,100,0.9953,7601921,94594
128,200,64,100,100,0.9979,11604210,104890
128,50,128,100,100,0.9995,8657101,162895
128,100,128,100,100,0.9954,7804890,96575
128,200,128,100,100,0.9982,11837543,107180
128,50,32,200,100,0.9976,4565203,122088
128,100,32,200,100,0.9994,7252022,135103
128,200,32,200,100,0.9998,10997537,144685
128,50,64,200,100,0.9976,4730971,128365
128,100,64,200,100,0.9996,7600033,144655
128,200,64,200,100,0.9999,11605977,158380
128,50,128,200,100,0.9998,8654638,224126
128,100,128,200,100,0.9996,7802965,147072
128,200,128,200,100,1,11835136,161160
128,50,32,400,100,0.9999,4565584,185180
128,100,32,400,100,0.9999,7253006,200844
128,200,32,400,100,1,10997652,212947
128,50,64,400,100,0.9999,4731337,192055
128,100,64,400,100,1,7601620,211377
128,200,64,400,100,1,11606401,227843
128,50,128,400,100,0.9999,8658570,297818
128,100,128,400,100,0.9999,7803925,214091
128,200,128,400,100,1,11836222,230950
