d,efc,m,efs,k,recall,distcountconstr,distcountsearch,distcache
128,50,32,100,100,0.9829,3782645,84662
128,100,32,100,100,0.9921,6441928,93950
128,200,32,100,100,0.9958,10152594,100887
128,50,64,100,100,0.9846,3971872,89422
128,100,64,100,100,0.9941,6804709,101590
128,200,64,100,100,0.9978,10766364,111958
128,50,128,100,100,0.9978,8007487,169758
128,100,128,100,100,0.994,7008447,103690
128,200,128,100,100,0.9981,10997238,114137
128,50,32,200,100,0.996,3782645,129304
128,100,32,200,100,0.998,6441928,142324
128,200,32,200,100,0.9997,10152594,151902
128,50,64,200,100,0.9962,3971872,135688
128,100,64,200,100,0.9982,6804709,151923
128,200,64,200,100,0.9999,10766364,165609
128,50,128,200,100,0.9982,8007487,231359
128,100,128,200,100,0.9982,7008447,154337
128,200,128,200,100,0.9999,10997238,168383
128,50,32,400,100,0.9984,3782645,192611
128,100,32,400,100,0.9989,6441928,208567
128,200,32,400,100,1,10152594,220377
128,50,64,400,100,0.9984,3971872,199507
128,100,64,400,100,0.9986,6804709,218797
128,200,64,400,100,1,10766364,235245
128,50,128,400,100,0.9983,8007487,305523
128,100,128,400,100,0.9986,7008447,221527
128,200,128,400,100,1,10997238,238386
