d,efc,m,efs,k,recall,distcountconstr,distcountsearch,distcache
128,50,32,100,100,0.9842,4564478,77630
128,100,32,100,100,0.9938,7252392,87009
128,200,32,100,100,0.996,10999291,94258
128,50,64,100,100,0.9858,4730843,82689
128,100,64,100,100,0.9953,7602589,94872
128,200,64,100,100,0.9979,11604800,105284
128,50,128,100,100,0.9995,8658111,163717
128,100,128,100,100,0.9955,7804090,96767
128,200,128,100,100,0.9981,11836469,107320
128,50,32,200,100,0.9974,4564964,122126
128,100,32,200,100,0.9994,7251727,135255
128,200,32,200,100,0.9997,10995062,144801
128,50,64,200,100,0.9977,4729386,128422
128,100,64,200,100,0.9996,7601510,144864
128,200,64,200,100,0.9998,11605925,158559
128,50,128,200,100,0.9999,8655281,224381
128,100,128,200,100,0.9996,7803926,147259
128,200,128,200,100,0.9999,11835487,161345
128,50,32,400,100,0.9999,4565542,185275
128,100,32,400,100,1,7253531,200928
128,200,32,400,100,1,10996266,213060
128,50,64,400,100,0.9999,4730717,192194
128,100,64,400,100,1,7602579,211534
128,200,64,400,100,1,11604199,227880
128,50,128,400,100,0.9999,8655427,298117
128,100,128,400,100,1,7804133,214201
128,200,128,400,100,1,11835211,230984
