   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      108.00,      168.02,      112.64,    0.10,    0.10,    0.07
   4,       4,       4,      20,     100,    0.00,    0.00,    0.00,      146.00,      244.10,      153.58,    0.20,    0.20,    0.15
   4,       4,       4,      50,     100,    0.01,    0.01,    0.01,      242.00,      400.06,      248.78,    0.35,    0.50,    0.31
   4,       4,       4,     100,     100,    0.01,    0.02,    0.01,      402.00,      637.16,      415.04,    0.50,    0.86,    0.46
   4,       4,       4,     150,     100,    0.02,    0.04,    0.02,      555.00,      868.48,      567.90,    0.60,    0.92,    0.52
   4,       4,       4,     200,     100,    0.03,    0.06,    0.03,      694.00,     1204.58,      726.16,    0.65,    0.93,    0.56
   4,       4,       4,     250,     100,    0.04,    0.07,    0.04,      851.00,     1324.12,      876.46,    0.67,    0.94,    0.60
   4,       4,       4,     300,     100,    0.05,    0.07,    0.05,      987.00,     1445.30,     1012.98,    0.72,    0.96,    0.64
   4,       4,       4,     500,     100,    0.08,    0.14,    0.08,     1491.00,     2377.06,     1545.54,    0.81,    1.00,    0.72
   4,       4,       4,     750,     100,    0.12,    0.20,    0.13,     2082.00,     3404.26,     2156.16,    0.86,    1.00,    0.78
   4,       4,       4,    1000,     100,    0.16,    0.24,    0.17,     2676.00,     3812.24,     2769.02,    0.93,    1.00,    0.83
   4,       4,       4,    2000,     100,    0.33,    0.43,    0.34,     5043.00,     6359.54,     5139.76,    0.98,    1.00,    0.94
   4,       4,       4,    3000,     100,    0.51,    0.59,    0.51,     7235.00,     8509.00,     7326.80,    1.00,    1.00,    0.98
