   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      255.00,      322.06,      258.84,    0.10,    0.10,    0.09
   4,       4,       4,      20,     100,    0.00,    0.01,    0.00,      290.00,      372.14,      295.50,    0.20,    0.20,    0.17
   4,       4,       4,      50,     100,    0.01,    0.01,    0.01,      388.00,      580.04,      398.78,    0.45,    0.50,    0.37
   4,       4,       4,     100,     100,    0.01,    0.03,    0.01,      543.00,      874.04,      566.68,    0.59,    0.86,    0.54
   4,       4,       4,     150,     100,    0.02,    0.03,    0.02,      696.00,      966.24,      719.24,    0.64,    0.92,    0.61
   4,       4,       4,     200,     100,    0.03,    0.04,    0.03,      825.00,     1124.40,      845.10,    0.69,    0.95,    0.64
   4,       4,       4,     250,     100,    0.04,    0.05,    0.04,      974.00,     1234.06,      978.26,    0.69,    0.96,    0.66
   4,       4,       4,     300,     100,    0.05,    0.06,    0.05,     1100.00,     1400.12,     1113.80,    0.72,    0.96,    0.69
   4,       4,       4,     500,     100,    0.08,    0.11,    0.08,     1609.00,     2139.88,     1626.62,    0.80,    0.98,    0.75
   4,       4,       4,     750,     100,    0.12,    0.16,    0.12,     2232.00,     2763.56,     2256.98,    0.87,    1.00,    0.81
   4,       4,       4,    1000,     100,    0.16,    0.22,    0.17,     2826.00,     3671.02,     2886.94,    0.93,    1.00,    0.85
   4,       4,       4,    2000,     100,    0.34,    0.41,    0.34,     5182.00,     6255.76,     5263.34,    0.98,    1.00,    0.95
   4,       4,       4,    3000,     100,    0.51,    0.59,    0.51,     7390.00,     8659.00,     7491.06,    1.00,    1.00,    0.98
