   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      454.00,      516.06,      457.52,    0.10,    0.10,    0.09
   4,       4,       4,      20,     100,    0.00,    0.01,    0.00,      494.00,      582.00,      497.94,    0.20,    0.20,    0.18
   4,       4,       4,      50,     100,    0.01,    0.01,    0.01,      588.00,      742.38,      594.54,    0.47,    0.50,    0.39
   4,       4,       4,     100,     100,    0.01,    0.03,    0.02,      737.00,      986.92,      751.66,    0.59,    0.86,    0.53
   4,       4,       4,     150,     100,    0.02,    0.04,    0.02,      888.00,     1274.12,      904.48,    0.64,    0.92,    0.59
   4,       4,       4,     200,     100,    0.03,    0.05,    0.03,     1017.00,     1376.16,     1035.38,    0.67,    0.93,    0.62
   4,       4,       4,     250,     100,    0.04,    0.06,    0.04,     1157.00,     1494.92,     1175.16,    0.69,    0.95,    0.64
   4,       4,       4,     300,     100,    0.05,    0.07,    0.05,     1294.00,     1632.18,     1313.16,    0.72,    0.96,    0.67
   4,       4,       4,     500,     100,    0.08,    0.12,    0.08,     1823.00,     2432.94,     1840.48,    0.80,    0.98,    0.74
   4,       4,       4,     750,     100,    0.12,    0.18,    0.13,     2430.00,     3324.34,     2469.90,    0.87,    1.00,    0.80
   4,       4,       4,    1000,     100,    0.17,    0.23,    0.17,     3018.00,     3978.30,     3097.10,    0.94,    1.00,    0.85
   4,       4,       4,    2000,     100,    0.34,    0.41,    0.34,     5388.00,     6483.48,     5474.50,    0.99,    1.00,    0.96
   4,       4,       4,    3000,     100,    0.51,    0.59,    0.51,     7590.00,     8859.00,     7687.32,    1.00,    1.00,    0.98
