d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
200,200,16,10,100,2476,0.6035,0.92201,0.60867,5854,8425.67,5972.07,0.83,1,0.76245,0.76,1,0.69426
200,200,16,20,100,2476,0.59925,0.899604,0.602666,5854,8425.67,5972.07,0.8383,1.01,0.770075,0.7676,1.01,0.701202
200,200,16,50,100,2476,0.59925,0.892575,0.601082,5854,8425.67,5972.07,0.838383,1.0101,0.77015,0.767676,1.0101,0.701272
200,200,16,100,100,2476,0.59775,0.90607,0.600728,5854,8425.67,5972.07,0.838384,1.0101,0.770151,0.767677,1.0101,0.701273
200,200,16,150,100,3554,0.855,1.26161,0.850054,8412,11795.4,8525.17,0.878737,1.0101,0.819361,0.837778,1.0101,0.748133
200,200,16,200,100,4640,1.09975,1.56261,1.08829,10945,14493.3,11036.3,0.898885,1.0101,0.846533,0.868477,1.0101,0.776861
200,200,16,250,100,5721,1.34425,1.87813,1.32266,13512,17717.4,13541.5,0.91889,1.0101,0.863715,0.888785,1.0101,0.798059
200,200,16,300,100,6800,1.573,2.12613,1.54686,16052.5,20440.8,16046,0.929191,1.0101,0.877927,0.908834,1.0101,0.814041
200,200,16,500,100,11116,2.53275,3.79474,2.49631,26159,29555.5,26006.2,0.959189,1.0101,0.906099,0.939191,1.0101,0.85404
200,200,16,750,100,16500,3.60375,4.59869,3.51007,38762.5,42235.9,38454,0.969592,1.0101,0.922351,0.959542,1.0101,0.88153
200,200,16,1000,100,21865,4.7055,5.98366,4.57348,51327,55508.1,50896.5,0.979595,1.0101,0.932114,0.969644,1.0101,0.900305
200,200,16,2000,100,43237,8.9785,11.446,8.72213,101130,108336,100374,0.989693,1.0101,0.951011,0.989797,1.0101,0.940513
200,200,16,3000,100,64468,12.9135,18.0467,12.5494,150476,160876,149510,0.989898,1.0101,0.96025,0.999996,1.0101,0.960855
