d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
100,200,16,10,100,2403,0.4785,0.67808,0.473565,5769,7739.76,5807.77,0.86,1,0.79957,0.83,1,0.75947
100,200,16,20,100,2403,0.4785,0.683075,0.474935,5769,7739.76,5807.77,0.8686,1.01,0.807566,0.8383,1.01,0.767064
100,200,16,50,100,2403,0.4775,0.68607,0.473649,5769,7739.76,5807.77,0.868686,1.0101,0.807645,0.838383,1.0101,0.767141
100,200,16,100,100,2403,0.38175,0.774139,0.397998,5769,7739.76,5807.77,0.868687,1.0101,0.807646,0.838384,1.0101,0.767141
100,200,16,150,100,3482,0.5025,0.973585,0.516241,8312.5,10766.2,8320.89,0.908687,1.0101,0.847996,0.888283,1.0101,0.812991
100,200,16,200,100,4564,0.59675,0.791575,0.584124,10871,12918.5,10827.4,0.92899,1.0101,0.87147,0.90909,1.0101,0.84041
100,200,16,250,100,5651,0.728,0.95759,0.711801,13427,15609.2,13332.3,0.939294,1.0101,0.888185,0.929188,1.0101,0.861184
100,200,16,300,100,6733,0.8535,1.105,0.833639,15968.5,18355.7,15829,0.949443,1.0101,0.899972,0.944289,1.0101,0.876712
100,200,16,500,100,11066,1.36425,1.74104,1.33299,26129,28902.1,25876.6,0.969545,1.0101,0.92521,0.974391,1.0101,0.915767
100,200,16,750,100,16475,2.124,2.74754,2.07952,38775.5,42538,38405.8,0.979796,1.0101,0.942292,0.989795,1.0101,0.941828
100,200,16,1000,100,21889,2.89,3.6526,2.82404,51385,56228,50942.5,0.989697,1.0101,0.954143,0.999797,1.0101,0.957078
100,200,16,2000,100,43462,5.598,7.07907,5.46165,101777,110515,100969,0.999895,1.0101,0.974721,1.0099,1.0101,0.985331
100,200,16,3000,100,64965,8.33775,10.3802,8.08052,151956,164473,150807,1,1.0101,0.984187,1.0101,1.0101,0.995994
