d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
256,200,10,10,100,3281,0.355,0.626,0.365566,3624,6022.02,3824.92,0.87,1,0.730798,0.83,1,0.732544
256,200,10,20,100,3281,0.353,0.624005,0.364138,3624,6022.02,3824.92,0.8787,1.01,0.738111,0.8383,1.01,0.739871
256,200,10,50,100,3281,0.3475,0.642005,0.360569,3624,6022.02,3824.92,0.878787,1.0101,0.738187,0.838383,1.0101,0.73995
256,200,10,100,100,3281,0.3545,0.624505,0.365338,3624,6022.02,3824.92,0.878788,1.0101,0.738194,0.838384,1.0101,0.739954
256,200,10,150,100,4709,0.519,0.85501,0.525004,5200,8145.01,5398.5,0.90803,1.0101,0.786455,0.868283,1.0101,0.770255
256,200,10,200,100,6139,0.681,1.06,0.68189,6763,9924.05,6938.99,0.919085,1.0101,0.813594,0.888432,1.0101,0.789867
256,200,10,250,100,7569,0.8165,1.21001,0.809931,8324,11476,8470.74,0.929191,1.0101,0.831709,0.898888,1.0101,0.804582
256,200,10,300,100,8997,0.979,1.425,0.965217,9884.5,12926.1,9990.58,0.938888,1.0101,0.843652,0.908988,1.0101,0.816732
256,200,10,500,100,14754,1.79125,2.6435,1.79563,16085,18643.1,16068.7,0.949192,1.0101,0.872737,0.929293,1.0101,0.85149
256,200,10,750,100,21993,2.4955,3.05605,2.39846,23809,25974.1,23692.7,0.959187,1.0101,0.892188,0.949393,1.0101,0.881654
256,200,10,1000,100,29259,3.2785,3.997,3.15018,31515.5,33581,31327.6,0.959595,1.0101,0.905029,0.969389,1.0101,0.903313
256,200,10,2000,100,58447,6.76625,8.50203,6.50521,62256.5,64937,61933.4,0.969698,1.0101,0.933534,0.989594,1.0101,0.950143
256,200,10,3000,100,87683,9.98,12.7745,9.77915,92894.5,96260,92509.1,0.979794,1.0101,0.950097,0.999894,1.0101,0.972152
