d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
96,100,16,10,100,1606,0.2525,0.337055,0.24642,4830,5639.22,4739.2,1,1,0.99228,0.94,1,0.90931
96,100,16,20,100,1606,0.252,0.335045,0.246274,4830,5639.22,4739.2,1,1,0.99228,0.94,1,0.90931
96,100,16,50,100,1606,0.25325,0.340525,0.24739,4830,5639.22,4739.2,1,1,0.99228,0.94,1,0.90931
96,100,16,100,100,1606,0.2525,0.338015,0.246425,4830,5639.22,4739.2,1,1,0.99228,0.94,1,0.90931
96,100,16,150,100,2339,0.4975,0.62602,0.481699,7003.5,8054.31,6879.66,1,1,0.99539,0.97,1,0.945221
96,100,16,200,100,3071,0.658,0.813515,0.634579,9185,10579.2,9019.53,1,1,0.9974,0.985,1,0.962971
96,100,16,250,100,3803,0.581,0.794119,0.568362,11363.5,13025.2,11157.3,1,1,0.99772,0.99,1,0.97354
96,100,16,300,100,4532,0.669,0.876114,0.653989,13530.5,15490.4,13288.8,1,1,0.99819,1,1,0.97977
96,100,16,500,100,7424,1.048,1.38854,1.02661,22173.5,25307.8,21772.5,1,1,0.99891,1,1,0.99101
96,100,16,750,100,11017,1.5115,2.85062,1.56211,32935.5,37525.7,32332.8,1,1,0.99935,1,1,0.99531
96,100,16,1000,100,14579,2.9215,3.97757,2.84918,43633,49697.4,42830.5,1,1,0.99947,1,1,0.99737
96,100,16,2000,100,28680,5.6565,8.19117,5.60415,85908,97648.7,84499.8,1,1,0.99987,1,1,0.99927
96,100,16,3000,100,42628,4.97725,9.45868,5.11318,127936,145538,125857,1,1,0.9999,1,1,0.99964
