d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
200,200,16,10,100,2476,0.5925,0.884129,0.592614,5872,8449.63,5967.93,0.99,1,0.932181,0.69,1,0.63702
200,200,16,20,100,2476,0.5915,0.901535,0.591733,5872,8449.63,5967.93,0.99,1,0.932181,0.69,1,0.63702
200,200,16,50,100,2476,0.5915,0.892565,0.591717,5872,8449.63,5967.93,0.99,1,0.932181,0.69,1,0.63702
200,200,16,100,100,2476,0.58975,0.89409,0.590733,5872,8449.63,5967.93,0.99,1,0.932181,0.69,1,0.63702
200,200,16,150,100,3554,0.8425,1.22505,0.835865,8420.5,11727.5,8510.54,0.99,1,0.948771,0.76,1,0.68993
200,200,16,200,100,4640,1.0795,1.47908,1.06675,10959,14310.4,11026.4,0.99,1,0.95744,0.81,1,0.72281
200,200,16,250,100,5721,1.32025,1.79161,1.29637,13516.5,17361.7,13539.3,0.99,1,0.96242,0.83,1,0.74693
200,200,16,300,100,6800,1.549,2.04957,1.51527,16043.5,20180.7,16038,0.99,1,0.96791,0.86,1,0.7651
200,200,16,500,100,11116,2.45625,3.15563,2.38708,26146,29674.7,26004.9,0.99,1,0.97572,0.9,1,0.80941
200,200,16,750,100,16500,3.603,5.09719,3.53985,38776.5,42375.2,38459.4,0.99,1,0.97806,0.93,1,0.840301
200,200,16,1000,100,21865,4.644,5.92854,4.50679,51304.5,55611.5,50886.3,0.99,1,0.97948,0.94,1,0.86034
200,200,16,2000,100,43237,8.9095,13.2674,8.87924,101114,108423,100353,0.995,1,0.98318,0.97,1,0.90507
200,200,16,3000,100,64468,16.3547,23.4868,16.179,150476,161033,149482,1,1,0.98494,0.98,1,0.928
