d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
128,50,8,10,100,1016,0.289,0.376005,0.287594,2642,3178.16,2643.78,0,0.0200995,0.00644,0.8,1,0.78821
128,50,8,20,100,1016,0.2875,0.375505,0.286901,2642,3178.16,2643.78,0,0.0200995,0.00644,0.8,1,0.78821
128,50,8,50,100,1016,0.28825,0.377015,0.286971,2642,3178.16,2643.78,0,0.0200995,0.00644,0.8,1,0.78821
128,50,8,100,100,1016,0.288,0.37551,0.287147,2642,3178.16,2643.78,0,0.0200995,0.00644,0.8,1,0.78821
128,50,8,150,100,1476,0.413,0.515505,0.410704,3769,4380.04,3779.94,0,0.02,0.00445,0.87,1,0.85276
128,50,8,200,100,1936,0.54075,0.670055,0.538759,4884.5,5655.07,4923.18,0,0.02,0.00345,0.91,1,0.889941
128,50,8,250,100,2393,0.66925,0.832035,0.668563,5985,6946.05,6063.87,0,0.02,0.00245,0.94,1,0.914191
128,50,8,300,100,2850,0.78825,0.978515,0.789917,7088,8250.13,7204.15,0,0.02,0.00445,0.95,1,0.93104
128,50,8,500,100,4661,1.29325,1.56906,1.28757,11596,13479.1,11794.9,0,0.02,0.00344,0.98,1,0.962901
128,50,8,750,100,6908,1.9385,2.30352,1.91118,17287,19915.1,17550,0,0.02,0.00445,0.99,1,0.9789
128,50,8,1000,100,9141,2.5915,3.04559,2.54464,23005,26388.1,23312,0,0.02,0.00346,1,1,0.98602
128,50,8,2000,100,17977,5.111,5.88002,4.98631,45826.5,51822.2,46310.9,0,0.02,0.00146,1,1,0.99502
128,50,8,3000,100,26712,5.58725,7.08359,5.39036,68556,77064.6,69237.8,0,0.02,0.00046,1,1,0.99685
