d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
100,200,16,10,100,4807,0.324,0.522035,0.324688,5672.5,8482.16,5790.05,0.98,1,0.91935,0.76,1,0.70768
100,200,16,20,100,4807,0.3235,0.52205,0.324699,5672.5,8482.16,5790.05,0.9898,1.01,0.928541,0.7676,1.01,0.714757
100,200,16,50,100,4807,0.325,0.525545,0.326071,5672.5,8482.16,5790.05,0.989898,1.0101,0.928636,0.767676,1.0101,0.714828
100,200,16,100,100,4807,0.32275,0.52204,0.325242,5672.5,8482.16,5790.05,0.989899,1.0101,0.928636,0.767677,1.0101,0.714828
100,200,16,150,100,6964,0.48225,0.720604,0.477962,8242.5,11395.3,8316.33,0.999899,1.0101,0.954437,0.817778,1.0101,0.764448
100,200,16,200,100,9129,0.63825,0.907045,0.63102,10811.5,13703.7,10822.4,0.999999,1.0101,0.965804,0.867924,1.0101,0.795684
100,200,16,250,100,11303,0.8,1.09204,0.784453,13359,16325.9,13325.5,1,1.0101,0.973728,0.878784,1.0101,0.817807
100,200,16,300,100,13466,0.94425,1.25555,0.927352,15912.5,18615.2,15824.1,1,1.0101,0.978197,0.908583,1.0101,0.836048
100,200,16,500,100,22132,1.531,1.97451,1.49971,26085,29191.7,25871.3,1.0001,1.0101,0.987732,0.948985,1.0101,0.88088
100,200,16,750,100,32950,2.24025,2.84506,2.19639,38743,42594.6,38400,1.01,1.0101,0.992338,0.96949,1.0101,0.911849
100,200,16,1000,100,43779,2.95575,3.76404,2.89026,51374,56251.5,50932.5,1.0101,1.0101,0.994964,0.979793,1.0101,0.930199
100,200,16,2000,100,86924,5.4595,6.98979,5.30628,101772,110624,100957,1.0101,1.0101,0.99873,0.999894,1.0101,0.967562
100,200,16,3000,100,129931,7.961,9.91407,7.71052,151920,164579,150794,1.0101,1.0101,1.00138,1.0099,1.0101,0.982906
